,,,,,
,,,,,
,TIPO CONSULTA,MES,CANAL ,CANTIDAD,PORCENTAJE
,Servicios en Línea,JUNIO,CHAT,1,0.04 %
,Estado de Trámite,JUNIO,CHAT,350,14.43 %
,Otros,JUNIO,CHAT,237,9.77 %
,DNI /DNIe,JUNIO,CENTRAL,309,3.22 %
,Certificaciones y Habilitaciones,JUNIO,CENTRAL,8,0.08 %
,Registros Civiles,JUNIO,CENTRAL,30,0.31 %
,Agencias/Horarios,JUNIO,CENTRAL,184,1.92 %
,Estado de Trámite,JUNIO,CENTRAL,315,3.28 %
,Otros,JUNIO,CENTRAL,12,0.13 %
,Anexos,JUNIO,CENTRAL,"8,742",91.06 %
